transaction_id,date,sku,product_name,quantity,unit_cost,unit_price,payment_method,supplier,category,employee,discount
20241015-0000,2024-10-15 08:44:54,PAI500,Premium Paint 5L,4,1200,1500,CASH,SUPP_D,Paints,Lucy,0
20241015-0001,2024-10-15 14:01:05,TOOL01,Hammer 16oz,8,400,550,MPESA,SUPP_E,Tools,John,0
20241015-0002,2024-10-15 17:43:00,PLM001,Plumbing PVC Pipe 1”,3,200,280,MPESA,SUPP_C,Plumbing,Lucy,0
20241015-0003,2024-10-15 12:24:26,TOOL01,Hammer 16oz,8,400,550,BANK_TRANSFER,SUPP_E,Tools,John,10
20241015-0004,2024-10-15 12:06:18,CEM001,20kg Cement Bag,6,450,500,CASH,SUPP_A,Building Materials,Peter,0
20241015-0005,2024-10-15 08:37:34,GLV010,Construction Gloves,8,50,80,CARD,SUPP_B,Safety,Lucy,5
20241015-0006,2024-10-15 14:55:20,PLM001,Plumbing PVC Pipe 1”,4,200,280,BANK_TRANSFER,SUPP_C,Plumbing,Peter,0
20241015-0007,2024-10-15 12:44:41,TOOL01,Hammer 16oz,2,400,550,CASH,SUPP_E,Tools,Mary,0
20241015-0008,2024-10-15 12:55:18,CEM001,20kg Cement Bag,8,450,500,CARD,SUPP_A,Building Materials,John,0
20241015-0009,2024-10-15 16:51:18,NLS123,1/2 inch Nail Box,10,120,150,CASH,SUPP_B,Fasteners,John,0
20241015-0010,2024-10-15 14:21:26,PLM001,Plumbing PVC Pipe 1”,3,200,280,MPESA,SUPP_C,Plumbing,Mary,0
20241015-0011,2024-10-15 14:21:54,ELX12,Light Bulb 60W,9,80,120,BANK_TRANSFER,SUPP_C,Electrical,Lucy,5
20241015-0012,2024-10-15 15:48:52,BRU100,Hard Bristle Brush,10,180,250,MPESA,SUPP_D,Decor,John,0
20241015-0013,2024-10-15 14:07:23,PAI500,Premium Paint 5L,7,1200,1500,CASH,SUPP_D,Paints,Lucy,0
20241015-0014,2024-10-15 10:58:00,ELX12,Light Bulb 60W,7,80,120,CASH,SUPP_C,Electrical,Lucy,0
20241015-0015,2024-10-15 09:40:43,PAI500,Premium Paint 5L,8,1200,1500,MPESA,SUPP_D,Paints,Lucy,5
20241015-0016,2024-10-15 17:49:45,TIN012,Thin Nails Bundle,10,90,120,CARD,SUPP_B,Fasteners,Peter,0
20241015-0017,2024-10-15 14:14:29,PLY200,2x1 Timber (2m),9,300,350,MPESA,SUPP_A,Timber,Lucy,5
20241015-0018,2024-10-15 13:17:37,TIN012,Thin Nails Bundle,3,90,120,CARD,SUPP_B,Fasteners,Lucy,0
20241015-0019,2024-10-15 09:53:40,CEM001,20kg Cement Bag,2,450,500,BANK_TRANSFER,SUPP_A,Building Materials,Peter,5
20241015-0020,2024-10-15 15:33:46,TIN012,Thin Nails Bundle,2,90,120,CARD,SUPP_B,Fasteners,John,0
20241015-0021,2024-10-15 13:59:52,PLY200,2x1 Timber (2m),1,300,350,MPESA,SUPP_A,Timber,Peter,0
20241015-0022,2024-10-15 14:11:09,GLV010,Construction Gloves,2,50,80,MPESA,SUPP_B,Safety,Peter,10
20241015-0023,2024-10-15 12:44:42,GLV010,Construction Gloves,7,50,80,MPESA,SUPP_B,Safety,Mary,5
20241015-0024,2024-10-15 12:45:17,BRU100,Hard Bristle Brush,5,180,250,CARD,SUPP_D,Decor,John,0
20241015-0025,2024-10-15 09:18:33,PAI500,Premium Paint 5L,6,1200,1500,CASH,SUPP_D,Paints,Peter,0
20241015-0026,2024-10-15 17:58:08,TIN012,Thin Nails Bundle,4,90,120,CARD,SUPP_B,Fasteners,Mary,0
20241015-0027,2024-10-15 10:41:04,CEM001,20kg Cement Bag,4,450,500,MPESA,SUPP_A,Building Materials,Lucy,5
20241015-0028,2024-10-15 13:29:35,PLY200,2x1 Timber (2m),1,300,350,MPESA,SUPP_A,Timber,Peter,5
20241015-0029,2024-10-15 09:59:52,TOOL01,Hammer 16oz,2,400,550,BANK_TRANSFER,SUPP_E,Tools,Mary,0
20241015-0030,2024-10-15 14:14:58,TOOL01,Hammer 16oz,7,400,550,CARD,SUPP_E,Tools,Lucy,10
20241015-0031,2024-10-15 15:42:10,ELX12,Light Bulb 60W,2,80,120,CASH,SUPP_C,Electrical,Lucy,10
20241015-0032,2024-10-15 10:43:09,TOOL01,Hammer 16oz,7,400,550,BANK_TRANSFER,SUPP_E,Tools,Peter,0
20241015-0033,2024-10-15 11:10:47,NLS123,1/2 inch Nail Box,6,120,150,MPESA,SUPP_B,Fasteners,Lucy,0
20241015-0034,2024-10-15 16:48:30,PAI500,Premium Paint 5L,5,1200,1500,CARD,SUPP_D,Paints,John,10
20241015-0035,2024-10-15 14:29:26,NLS123,1/2 inch Nail Box,9,120,150,MPESA,SUPP_B,Fasteners,Lucy,5
20241015-0036,2024-10-15 09:00:01,NLS123,1/2 inch Nail Box,1,120,150,CARD,SUPP_B,Fasteners,Mary,0
20241015-0037,2024-10-15 13:25:18,PAI500,Premium Paint 5L,4,1200,1500,CARD,SUPP_D,Paints,Peter,0
20241015-0038,2024-10-15 09:32:10,BRU100,Hard Bristle Brush,9,180,250,CASH,SUPP_D,Decor,John,5
20241015-0039,2024-10-15 14:52:03,TOOL01,Hammer 16oz,1,400,550,CARD,SUPP_E,Tools,Lucy,10
20241015-0040,2024-10-15 14:00:13,TIN012,Thin Nails Bundle,1,90,120,BANK_TRANSFER,SUPP_B,Fasteners,Lucy,5
20241015-0041,2024-10-15 10:30:02,GLV010,Construction Gloves,7,50,80,CASH,SUPP_B,Safety,Mary,5
20241015-0042,2024-10-15 14:14:51,PLY200,2x1 Timber (2m),6,300,350,MPESA,SUPP_A,Timber,Peter,5
20241015-0043,2024-10-15 14:09:38,PLY200,2x1 Timber (2m),1,300,350,CASH,SUPP_A,Timber,Lucy,0
20241015-0044,2024-10-15 08:08:54,BRU100,Hard Bristle Brush,4,180,250,CASH,SUPP_D,Decor,Mary,0
20241015-0045,2024-10-15 12:08:09,BRU100,Hard Bristle Brush,7,180,250,CASH,SUPP_D,Decor,John,0
20241015-0046,2024-10-15 13:48:40,PLM001,Plumbing PVC Pipe 1”,10,200,280,BANK_TRANSFER,SUPP_C,Plumbing,Peter,0
20241015-0047,2024-10-15 17:46:42,BRU100,Hard Bristle Brush,8,180,250,MPESA,SUPP_D,Decor,Lucy,0
20241015-0048,2024-10-15 09:06:35,NLS123,1/2 inch Nail Box,10,120,150,CARD,SUPP_B,Fasteners,John,0
20241015-0049,2024-10-15 11:58:52,NLS123,1/2 inch Nail Box,6,120,150,CASH,SUPP_B,Fasteners,Lucy,0
20241015-0050,2024-10-15 14:52:34,TOOL01,Hammer 16oz,10,400,550,BANK_TRANSFER,SUPP_E,Tools,Lucy,0
20241015-0051,2024-10-15 09:30:14,TIN012,Thin Nails Bundle,7,90,120,BANK_TRANSFER,SUPP_B,Fasteners,Peter,0
20241015-0052,2024-10-15 16:45:02,CEM001,20kg Cement Bag,5,450,500,BANK_TRANSFER,SUPP_A,Building Materials,John,10
20241015-0053,2024-10-15 14:55:15,PLY200,2x1 Timber (2m),-2,300,350,CARD,SUPP_A,Timber,Lucy,5
20241015-0054,2024-10-15 10:54:29,TOOL01,Hammer 16oz,3,400,550,CASH,SUPP_E,Tools,Mary,10
20241015-0055,2024-10-15 14:16:12,PAI500,Premium Paint 5L,4,1200,1500,BANK_TRANSFER,SUPP_D,Paints,John,0
20241015-0056,2024-10-15 09:39:10,BRU100,Hard Bristle Brush,8,180,250,CARD,SUPP_D,Decor,Mary,0
20241015-0057,2024-10-15 10:11:36,ELX12,Light Bulb 60W,6,80,120,CARD,SUPP_C,Electrical,Lucy,5
20241015-0058,2024-10-15 17:21:30,GLV010,Construction Gloves,10,50,80,CARD,SUPP_B,Safety,Peter,0
20241015-0059,2024-10-15 17:51:56,TIN012,Thin Nails Bundle,8,90,120,BANK_TRANSFER,SUPP_B,Fasteners,John,10
20241015-0060,2024-10-15 09:33:28,NLS123,1/2 inch Nail Box,7,120,150,MPESA,SUPP_B,Fasteners,John,0
20241015-0061,2024-10-15 12:44:21,TOOL01,Hammer 16oz,7,400,550,CARD,SUPP_E,Tools,Mary,10
20241015-0062,2024-10-15 09:11:12,CEM001,20kg Cement Bag,8,450,500,MPESA,SUPP_A,Building Materials,Mary,10
20241015-0063,2024-10-15 08:46:56,PLY200,2x1 Timber (2m),1,300,350,CARD,SUPP_A,Timber,Peter,0
20241015-0064,2024-10-15 17:48:53,NLS123,1/2 inch Nail Box,7,120,150,CASH,SUPP_B,Fasteners,Lucy,10
20241015-0065,2024-10-15 15:12:49,GLV010,Construction Gloves,7,50,80,CARD,SUPP_B,Safety,Mary,10
20241015-0066,2024-10-15 15:34:25,TIN012,Thin Nails Bundle,8,90,120,CASH,SUPP_B,Fasteners,Lucy,10
20241015-0067,2024-10-15 17:38:31,PLM001,Plumbing PVC Pipe 1”,4,200,280,BANK_TRANSFER,SUPP_C,Plumbing,Peter,5
20241015-0068,2024-10-15 14:17:22,GLV010,Construction Gloves,7,50,80,BANK_TRANSFER,SUPP_B,Safety,Lucy,0
20241015-0069,2024-10-15 12:08:42,TIN012,Thin Nails Bundle,1,90,120,BANK_TRANSFER,SUPP_B,Fasteners,Mary,5
20241015-0070,2024-10-15 09:03:27,BRU100,Hard Bristle Brush,8,180,250,MPESA,SUPP_D,Decor,Peter,5
20241015-0071,2024-10-15 13:01:34,GLV010,Construction Gloves,4,50,80,CASH,SUPP_B,Safety,Lucy,0
20241015-0072,2024-10-15 10:42:36,TOOL01,Hammer 16oz,3,400,550,BANK_TRANSFER,SUPP_E,Tools,Lucy,10
20241015-0073,2024-10-15 15:28:14,PAI500,Premium Paint 5L,3,1200,1500,MPESA,SUPP_D,Paints,John,0
20241015-0074,2024-10-15 12:47:11,PLM001,Plumbing PVC Pipe 1”,2,200,280,CARD,SUPP_C,Plumbing,Lucy,5
20241015-0075,2024-10-15 11:28:42,PLM001,Plumbing PVC Pipe 1”,9,200,280,BANK_TRANSFER,SUPP_C,Plumbing,Peter,10
20241015-0076,2024-10-15 17:04:02,ELX12,Light Bulb 60W,9,80,120,BANK_TRANSFER,SUPP_C,Electrical,John,0
20241015-0077,2024-10-15 08:15:10,ELX12,Light Bulb 60W,9,80,120,CARD,SUPP_C,Electrical,Mary,0
20241015-0078,2024-10-15 08:55:16,BRU100,Hard Bristle Brush,10,180,250,CARD,SUPP_D,Decor,Lucy,0
20241015-0079,2024-10-15 10:24:17,NLS123,1/2 inch Nail Box,7,120,150,CARD,SUPP_B,Fasteners,John,0
20241015-0080,2024-10-15 10:49:56,TOOL01,Hammer 16oz,7,400,550,BANK_TRANSFER,SUPP_E,Tools,John,0
20241015-0081,2024-10-15 08:23:49,PLM001,Plumbing PVC Pipe 1”,6,200,280,CASH,SUPP_C,Plumbing,John,0
20241015-0082,2024-10-15 15:24:40,BRU100,Hard Bristle Brush,10,180,250,MPESA,SUPP_D,Decor,John,5
20241015-0083,2024-10-15 14:07:19,NLS123,1/2 inch Nail Box,7,120,150,BANK_TRANSFER,SUPP_B,Fasteners,John,0
20241015-0084,2024-10-15 11:48:17,PLM001,Plumbing PVC Pipe 1”,2,200,280,BANK_TRANSFER,SUPP_C,Plumbing,Mary,0
20241015-0085,2024-10-15 10:23:50,PLM001,Plumbing PVC Pipe 1”,10,200,280,CASH,SUPP_C,Plumbing,Lucy,5
20241015-0086,2024-10-15 16:16:34,PLM001,Plumbing PVC Pipe 1”,7,200,280,CARD,SUPP_C,Plumbing,Peter,5
20241015-0087,2024-10-15 11:35:57,BRU100,Hard Bristle Brush,6,180,250,MPESA,SUPP_D,Decor,John,0
20241015-0088,2024-10-15 13:07:29,NLS123,1/2 inch Nail Box,3,120,150,CARD,SUPP_B,Fasteners,John,10
20241015-0089,2024-10-15 12:29:27,TOOL01,Hammer 16oz,7,400,550,MPESA,SUPP_E,Tools,Mary,0
