transaction_id,date,sku,product_name,quantity,unit_cost,unit_price,payment_method,supplier,category,employee,discount
20241007-0000,2024-10-07 13:58:59,TIN012,Thin Nails Bundle,3,90,120,MPESA,SUPP_B,Fasteners,Mary,10
20241007-0001,2024-10-07 11:52:13,PLY200,2x1 Timber (2m),7,300,350,CASH,SUPP_A,Timber,Peter,0
20241007-0002,2024-10-07 12:09:01,ELX12,Light Bulb 60W,7,80,120,BANK_TRANSFER,SUPP_C,Electrical,Peter,0
20241007-0003,2024-10-07 12:00:31,TIN012,Thin Nails Bundle,3,90,120,MPESA,SUPP_B,Fasteners,Lucy,0
20241007-0004,2024-10-07 12:08:16,NLS123,1/2 inch Nail Box,4,120,150,CARD,SUPP_B,Fasteners,Mary,0
20241007-0005,2024-10-07 16:59:20,CEM001,20kg Cement Bag,8,450,500,CASH,SUPP_A,Building Materials,Peter,10
20241007-0006,2024-10-07 13:41:23,TOOL01,Hammer 16oz,3,400,550,CARD,SUPP_E,Tools,Lucy,0
20241007-0007,2024-10-07 11:10:58,PLM001,Plumbing PVC Pipe 1”,9,200,280,MPESA,SUPP_C,Plumbing,John,0
20241007-0008,2024-10-07 10:15:16,PLM001,Plumbing PVC Pipe 1”,6,200,280,CASH,SUPP_C,Plumbing,Lucy,0
20241007-0009,2024-10-07 15:54:18,NLS123,1/2 inch Nail Box,10,120,150,CASH,SUPP_B,Fasteners,John,0
20241007-0010,2024-10-07 10:45:35,TIN012,Thin Nails Bundle,6,90,120,CASH,SUPP_B,Fasteners,Lucy,0
20241007-0011,2024-10-07 09:09:00,GLV010,Construction Gloves,9,50,80,CASH,SUPP_B,Safety,Mary,0
20241007-0012,2024-10-07 17:35:14,GLV010,Construction Gloves,8,50,80,CARD,SUPP_B,Safety,Lucy,0
20241007-0013,2024-10-07 17:58:19,TOOL01,Hammer 16oz,10,400,550,MPESA,SUPP_E,Tools,Lucy,0
20241007-0014,2024-10-07 17:00:57,CEM001,20kg Cement Bag,2,450,500,BANK_TRANSFER,SUPP_A,Building Materials,Mary,0
20241007-0015,2024-10-07 12:04:13,PLM001,Plumbing PVC Pipe 1”,9,200,280,BANK_TRANSFER,SUPP_C,Plumbing,Mary,0
20241007-0016,2024-10-07 13:45:16,PAI500,Premium Paint 5L,8,1200,1500,MPESA,SUPP_D,Paints,John,0
20241007-0017,2024-10-07 13:03:32,NLS123,1/2 inch Nail Box,6,120,150,BANK_TRANSFER,SUPP_B,Fasteners,John,0
20241007-0018,2024-10-07 09:33:48,BRU100,Hard Bristle Brush,10,180,250,CARD,SUPP_D,Decor,Mary,0
20241007-0019,2024-10-07 08:53:22,TIN012,Thin Nails Bundle,6,90,120,BANK_TRANSFER,SUPP_B,Fasteners,Peter,10
20241007-0020,2024-10-07 08:03:55,PLM001,Plumbing PVC Pipe 1”,4,200,280,CARD,SUPP_C,Plumbing,Peter,0
20241007-0021,2024-10-07 10:14:55,ELX12,Light Bulb 60W,4,80,120,CASH,SUPP_C,Electrical,Lucy,0
20241007-0022,2024-10-07 12:17:32,TIN012,Thin Nails Bundle,10,90,120,BANK_TRANSFER,SUPP_B,Fasteners,John,10
20241007-0023,2024-10-07 17:17:29,PLY200,2x1 Timber (2m),7,300,350,CASH,SUPP_A,Timber,John,0
20241007-0024,2024-10-07 13:29:14,BRU100,Hard Bristle Brush,5,180,250,BANK_TRANSFER,SUPP_D,Decor,Lucy,5
20241007-0025,2024-10-07 15:35:15,PLY200,2x1 Timber (2m),2,300,350,BANK_TRANSFER,SUPP_A,Timber,Lucy,0
20241007-0026,2024-10-07 10:11:05,GLV010,Construction Gloves,7,50,80,MPESA,SUPP_B,Safety,John,10
20241007-0027,2024-10-07 13:36:52,PLY200,2x1 Timber (2m),2,300,350,CASH,SUPP_A,Timber,John,5
20241007-0028,2024-10-07 14:24:12,BRU100,Hard Bristle Brush,4,180,250,CARD,SUPP_D,Decor,Mary,0
20241007-0029,2024-10-07 16:42:51,ELX12,Light Bulb 60W,6,80,120,MPESA,SUPP_C,Electrical,John,10
20241007-0030,2024-10-07 13:01:19,PLM001,Plumbing PVC Pipe 1”,2,200,280,BANK_TRANSFER,SUPP_C,Plumbing,Peter,0
20241007-0031,2024-10-07 09:58:14,BRU100,Hard Bristle Brush,2,180,250,BANK_TRANSFER,SUPP_D,Decor,Peter,5
20241007-0032,2024-10-07 09:38:28,NLS123,1/2 inch Nail Box,3,120,150,MPESA,SUPP_B,Fasteners,Mary,5
20241007-0033,2024-10-07 16:47:26,PAI500,Premium Paint 5L,8,1200,1500,MPESA,SUPP_D,Paints,Peter,0
20241007-0034,2024-10-07 14:26:20,PLY200,2x1 Timber (2m),2,300,350,MPESA,SUPP_A,Timber,Mary,0
20241007-0035,2024-10-07 17:41:33,ELX12,Light Bulb 60W,1,80,120,BANK_TRANSFER,SUPP_C,Electrical,Mary,5
20241007-0036,2024-10-07 15:55:55,NLS123,1/2 inch Nail Box,3,120,150,MPESA,SUPP_B,Fasteners,John,10
20241007-0037,2024-10-07 09:13:22,NLS123,1/2 inch Nail Box,9,120,150,MPESA,SUPP_B,Fasteners,Lucy,0
20241007-0038,2024-10-07 08:21:27,ELX12,Light Bulb 60W,9,80,120,CARD,SUPP_C,Electrical,Mary,5
20241007-0039,2024-10-07 17:02:58,BRU100,Hard Bristle Brush,5,180,250,CARD,SUPP_D,Decor,John,0
20241007-0040,2024-10-07 09:30:31,TIN012,Thin Nails Bundle,2,90,120,CARD,SUPP_B,Fasteners,John,10
20241007-0041,2024-10-07 15:25:28,TOOL01,Hammer 16oz,1,400,550,CASH,SUPP_E,Tools,Peter,0
20241007-0042,2024-10-07 16:22:04,CEM001,20kg Cement Bag,2,450,500,MPESA,SUPP_A,Building Materials,Lucy,0
20241007-0043,2024-10-07 08:33:02,PLM001,Plumbing PVC Pipe 1”,7,200,280,BANK_TRANSFER,SUPP_C,Plumbing,Peter,5
20241007-0044,2024-10-07 12:22:21,PAI500,Premium Paint 5L,7,1200,1500,BANK_TRANSFER,SUPP_D,Paints,Mary,0
20241007-0045,2024-10-07 10:29:36,PLM001,Plumbing PVC Pipe 1”,2,200,280,CARD,SUPP_C,Plumbing,Mary,0
20241007-0046,2024-10-07 16:34:38,BRU100,Hard Bristle Brush,9,180,250,CASH,SUPP_D,Decor,Mary,0
20241007-0047,2024-10-07 15:23:27,BRU100,Hard Bristle Brush,2,180,250,MPESA,SUPP_D,Decor,Lucy,0
20241007-0048,2024-10-07 15:18:11,PLM001,Plumbing PVC Pipe 1”,3,200,280,MPESA,SUPP_C,Plumbing,Lucy,0
20241007-0049,2024-10-07 17:43:08,TOOL01,Hammer 16oz,-1,400,550,BANK_TRANSFER,SUPP_E,Tools,Mary,0
20241007-0050,2024-10-07 09:00:46,ELX12,Light Bulb 60W,8,80,120,BANK_TRANSFER,SUPP_C,Electrical,Mary,10
20241007-0051,2024-10-07 16:12:50,NLS123,1/2 inch Nail Box,10,120,150,CASH,SUPP_B,Fasteners,Mary,0
20241007-0052,2024-10-07 13:06:00,ELX12,Light Bulb 60W,6,80,120,CARD,SUPP_C,Electrical,Lucy,0
20241007-0053,2024-10-07 13:53:27,TIN012,Thin Nails Bundle,3,90,120,BANK_TRANSFER,SUPP_B,Fasteners,Peter,0
20241007-0054,2024-10-07 08:43:50,PLM001,Plumbing PVC Pipe 1”,3,200,280,BANK_TRANSFER,SUPP_C,Plumbing,Lucy,10
20241007-0055,2024-10-07 08:17:31,PAI500,Premium Paint 5L,7,1200,1500,CASH,SUPP_D,Paints,Mary,0
20241007-0056,2024-10-07 11:53:37,PLM001,Plumbing PVC Pipe 1”,3,200,280,BANK_TRANSFER,SUPP_C,Plumbing,Peter,0
20241007-0057,2024-10-07 09:57:26,TOOL01,Hammer 16oz,10,400,550,CASH,SUPP_E,Tools,Peter,0
20241007-0058,2024-10-07 16:16:38,NLS123,1/2 inch Nail Box,5,120,150,CARD,SUPP_B,Fasteners,Lucy,10
20241007-0059,2024-10-07 13:14:38,TIN012,Thin Nails Bundle,1,90,120,CARD,SUPP_B,Fasteners,Mary,0
20241007-0060,2024-10-07 11:01:13,PLY200,2x1 Timber (2m),5,300,350,CASH,SUPP_A,Timber,John,5
20241007-0061,2024-10-07 16:34:42,GLV010,Construction Gloves,1,50,80,MPESA,SUPP_B,Safety,Mary,5
20241007-0062,2024-10-07 17:51:05,PLY200,2x1 Timber (2m),5,300,350,MPESA,SUPP_A,Timber,Peter,0
20241007-0063,2024-10-07 17:05:14,PLY200,2x1 Timber (2m),5,300,350,CARD,SUPP_A,Timber,Mary,0
20241007-0064,2024-10-07 09:20:59,ELX12,Light Bulb 60W,9,80,120,CASH,SUPP_C,Electrical,Mary,0
20241007-0065,2024-10-07 11:33:07,PLY200,2x1 Timber (2m),7,300,350,BANK_TRANSFER,SUPP_A,Timber,Peter,0
20241007-0066,2024-10-07 11:45:55,CEM001,20kg Cement Bag,7,450,500,BANK_TRANSFER,SUPP_A,Building Materials,Peter,10
20241007-0067,2024-10-07 13:26:22,TOOL01,Hammer 16oz,10,400,550,MPESA,SUPP_E,Tools,Peter,0
20241007-0068,2024-10-07 12:08:39,PLY200,2x1 Timber (2m),1,300,350,BANK_TRANSFER,SUPP_A,Timber,John,0
20241007-0069,2024-10-07 10:51:49,GLV010,Construction Gloves,3,50,80,MPESA,SUPP_B,Safety,Peter,0
20241007-0070,2024-10-07 13:10:05,CEM001,20kg Cement Bag,2,450,500,CARD,SUPP_A,Building Materials,Mary,5
20241007-0071,2024-10-07 11:33:04,PLY200,2x1 Timber (2m),8,300,350,BANK_TRANSFER,SUPP_A,Timber,John,10
20241007-0072,2024-10-07 11:37:38,CEM001,20kg Cement Bag,3,450,500,BANK_TRANSFER,SUPP_A,Building Materials,Peter,0
20241007-0073,2024-10-07 14:32:13,PLM001,Plumbing PVC Pipe 1”,4,200,280,BANK_TRANSFER,SUPP_C,Plumbing,Peter,10
20241007-0074,2024-10-07 13:06:51,CEM001,20kg Cement Bag,6,450,500,CASH,SUPP_A,Building Materials,Mary,0
20241007-0075,2024-10-07 13:17:26,TOOL01,Hammer 16oz,7,400,550,MPESA,SUPP_E,Tools,Mary,0
20241007-0076,2024-10-07 17:56:35,TIN012,Thin Nails Bundle,6,90,120,MPESA,SUPP_B,Fasteners,Peter,0
20241007-0077,2024-10-07 15:53:05,PAI500,Premium Paint 5L,2,1200,1500,MPESA,SUPP_D,Paints,John,0
20241007-0078,2024-10-07 12:29:09,TOOL01,Hammer 16oz,1,400,550,MPESA,SUPP_E,Tools,John,0
20241007-0079,2024-10-07 11:14:38,TOOL01,Hammer 16oz,3,400,550,MPESA,SUPP_E,Tools,Mary,0
20241007-0080,2024-10-07 09:18:05,NLS123,1/2 inch Nail Box,4,120,150,CARD,SUPP_B,Fasteners,John,0
20241007-0081,2024-10-07 16:31:58,PLY200,2x1 Timber (2m),-1,300,350,CASH,SUPP_A,Timber,John,0
20241007-0082,2024-10-07 11:03:25,ELX12,Light Bulb 60W,6,80,120,CASH,SUPP_C,Electrical,Peter,0
20241007-0083,2024-10-07 14:27:07,PLM001,Plumbing PVC Pipe 1”,9,200,280,MPESA,SUPP_C,Plumbing,John,0
20241007-0084,2024-10-07 08:50:19,PLM001,Plumbing PVC Pipe 1”,4,200,280,MPESA,SUPP_C,Plumbing,Peter,0
20241007-0085,2024-10-07 16:51:11,BRU100,Hard Bristle Brush,9,180,250,MPESA,SUPP_D,Decor,Mary,10
20241007-0086,2024-10-07 15:50:25,TOOL01,Hammer 16oz,2,400,550,MPESA,SUPP_E,Tools,John,0
20241007-0087,2024-10-07 17:32:09,PLM001,Plumbing PVC Pipe 1”,8,200,280,CASH,SUPP_C,Plumbing,Lucy,10
20241007-0088,2024-10-07 16:05:44,BRU100,Hard Bristle Brush,6,180,250,MPESA,SUPP_D,Decor,Peter,0
20241007-0089,2024-10-07 17:51:37,PLY200,2x1 Timber (2m),5,300,350,BANK_TRANSFER,SUPP_A,Timber,Peter,0
20241007-0090,2024-10-07 11:19:14,PAI500,Premium Paint 5L,5,1200,1500,CASH,SUPP_D,Paints,John,0
20241007-0091,2024-10-07 16:04:09,PAI500,Premium Paint 5L,4,1200,1500,CARD,SUPP_D,Paints,John,5
20241007-0092,2024-10-07 16:28:38,CEM001,20kg Cement Bag,5,450,500,CASH,SUPP_A,Building Materials,Lucy,0
20241007-0093,2024-10-07 11:05:07,TOOL01,Hammer 16oz,2,400,550,MPESA,SUPP_E,Tools,Peter,10
20241007-0094,2024-10-07 12:51:26,PAI500,Premium Paint 5L,3,1200,1500,MPESA,SUPP_D,Paints,Lucy,0
20241007-0095,2024-10-07 13:49:36,BRU100,Hard Bristle Brush,3,180,250,CARD,SUPP_D,Decor,Lucy,0
20241007-0096,2024-10-07 10:00:50,CEM001,20kg Cement Bag,10,450,500,BANK_TRANSFER,SUPP_A,Building Materials,Mary,5
20241007-0097,2024-10-07 15:23:34,PLM001,Plumbing PVC Pipe 1”,7,200,280,CASH,SUPP_C,Plumbing,Mary,0
20241007-0098,2024-10-07 09:18:11,PLY200,2x1 Timber (2m),9,300,350,MPESA,SUPP_A,Timber,Lucy,10
20241007-0099,2024-10-07 09:07:12,CEM001,20kg Cement Bag,2,450,500,CASH,SUPP_A,Building Materials,Peter,5
20241007-0100,2024-10-07 16:57:37,CEM001,20kg Cement Bag,3,450,500,BANK_TRANSFER,SUPP_A,Building Materials,Lucy,0
20241007-0101,2024-10-07 11:30:34,PAI500,Premium Paint 5L,3,1200,1500,MPESA,SUPP_D,Paints,John,5
20241007-0102,2024-10-07 15:08:34,NLS123,1/2 inch Nail Box,4,120,150,BANK_TRANSFER,SUPP_B,Fasteners,Lucy,10
20241007-0103,2024-10-07 13:18:55,GLV010,Construction Gloves,10,50,80,MPESA,SUPP_B,Safety,Mary,0
20241007-0104,2024-10-07 15:38:32,GLV010,Construction Gloves,4,50,80,CARD,SUPP_B,Safety,Mary,5
20241007-0105,2024-10-07 11:12:47,BRU100,Hard Bristle Brush,10,180,250,BANK_TRANSFER,SUPP_D,Decor,Peter,0
20241007-0106,2024-10-07 15:38:48,CEM001,20kg Cement Bag,9,450,500,CARD,SUPP_A,Building Materials,Lucy,0
20241007-0107,2024-10-07 16:32:43,GLV010,Construction Gloves,8,50,80,BANK_TRANSFER,SUPP_B,Safety,Lucy,0
20241007-0108,2024-10-07 08:53:49,PLM001,Plumbing PVC Pipe 1”,1,200,280,CARD,SUPP_C,Plumbing,John,10
20241007-0109,2024-10-07 09:51:25,TOOL01,Hammer 16oz,5,400,550,BANK_TRANSFER,SUPP_E,Tools,Lucy,0
